strategy,money,countries,utilities,stations,totalLandsOwned
DEFAULT,19909,7,0,0,7
GREEDY,26931,9,0,0,9
GREEDY,28044,10,1,0,11
GREEDY,30839,9,0,2,11
GREEDY,17721,11,0,0,11
GREEDY,56355,8,2,2,12
STATION_GUY,25991,9,1,0,10
DEFAULT,36403,9,0,0,9
GREEDY,13529,8,0,1,9
GREEDY,15513,12,1,2,15
GREEDY,18216,9,1,1,11
DEFAULT,65043,9,0,1,10
GREEDY,59401,8,0,4,12
GREEDY,18042,12,1,0,13
GREEDY,14743,6,0,2,8
DEFAULT,20729,6,0,4,10
GREEDY,33347,8,1,2,11
STATION_GUY,64057,5,0,2,7
STATION_GUY,33416,5,1,2,8
GREEDY,22566,7,1,1,9
STATION_GUY,35280,7,1,0,8
GREEDY,21230,4,0,2,6
GREEDY,23846,7,0,3,10
GREEDY,27001,9,0,0,9
GREEDY,31166,8,1,1,10
GREEDY,21411,8,0,2,10
DEFAULT,22401,9,0,1,10
GREEDY,32541,8,1,3,12
GREEDY,32478,6,1,1,8
GREEDY,22789,9,0,1,10
STATION_GUY,25026,7,0,2,9
UTILITY_GUY,61258,5,1,0,6
GREEDY,30395,7,0,1,8
STATION_GUY,59164,5,0,2,7
GREEDY,29848,9,0,2,11
UTILITY_GUY,44713,6,1,0,7
GREEDY,33740,9,1,1,11
UTILITY_GUY,93537,4,1,1,6
GREEDY,24754,8,0,2,10
DEFAULT,56630,6,0,1,7
GREEDY,20097,9,1,0,10
DEFAULT,41571,5,1,2,8
UTILITY_GUY,83173,4,2,0,6
GREEDY,15478,13,0,1,14
UTILITY_GUY,22178,5,1,0,6
DEFAULT,40854,5,0,3,8
DEFAULT,35426,8,1,2,11
UTILITY_GUY,16369,6,1,0,7
DEFAULT,52584,8,1,1,10
DEFAULT,40908,8,0,1,9
GREEDY,22432,10,1,0,11
STATION_GUY,82006,5,0,1,6
GREEDY,9641,11,0,0,11
GREEDY,24242,8,2,1,11
DEFAULT,31951,8,1,1,10
DEFAULT,71247,7,0,0,7
GREEDY,49693,7,0,0,7
GREEDY,10083,7,0,2,9
UTILITY_GUY,43173,9,1,1,11
GREEDY,27007,8,1,2,11
GREEDY,38951,11,0,0,11
DEFAULT,59589,9,0,0,9
GREEDY,19463,5,0,2,7
DEFAULT,48589,7,1,1,9
