strategy,money,countries,utilities,stations,totalLandsOwned
DEFAULT,1937,7,1,1,9
DEFAULT,5278,10,1,3,14
DEFAULT,21504,11,1,1,13
DEFAULT,728,4,1,2,7
DEFAULT,970,10,2,1,13
DEFAULT,6970,12,1,4,17
DEFAULT,13821,10,1,4,15
DEFAULT,16126,10,1,2,13
DEFAULT,12037,11,1,3,15
DEFAULT,1293,2,0,1,3
DEFAULT,18252,12,1,2,15
DEFAULT,9699,12,1,3,16
DEFAULT,32669,13,0,2,15
DEFAULT,19165,15,2,2,19
DEFAULT,48582,11,0,2,13
DEFAULT,1239,8,0,3,11
DEFAULT,881,7,1,4,12
DEFAULT,29377,10,2,2,14
DEFAULT,808,8,2,2,12
DEFAULT,20327,10,1,2,13
DEFAULT,10991,10,1,2,13
DEFAULT,1458,9,1,4,14
DEFAULT,625,13,0,2,15
DEFAULT,10256,11,0,2,13
DEFAULT,73050,14,2,1,17
DEFAULT,1536,2,1,0,3
DEFAULT,906,7,1,2,10
DEFAULT,1053,5,1,1,7
DEFAULT,338,9,0,1,10
DEFAULT,2558,11,0,4,15
DEFAULT,64214,10,1,4,15
DEFAULT,7374,11,1,2,14
DEFAULT,9431,13,1,2,16
DEFAULT,568,11,0,1,12
DEFAULT,168,7,1,2,10
DEFAULT,728,3,0,1,4
DEFAULT,20344,15,2,1,18
DEFAULT,17061,13,1,3,17
DEFAULT,1018,5,0,3,8
,,,,
DEFAULT,844,8,1,2,11
DEFAULT,943,8,2,4,14
DEFAULT,17836,14,1,1,16
DEFAULT,3429,13,1,4,18
,,,,
DEFAULT,7030,11,1,1,13
DEFAULT,230,10,1,2,13
DEFAULT,16426,12,0,1,13
DEFAULT,3788,12,1,4,17
DEFAULT,10534,10,0,3,13
DEFAULT,550,8,1,0,9
,,,,
DEFAULT,222,7,1,1,9
DEFAULT,510,6,1,3,10
DEFAULT,10934,13,1,3,17
DEFAULT,13148,13,1,1,15
DEFAULT,14532,9,1,2,12
DEFAULT,2290,11,2,4,17
,,,,
DEFAULT,23573,9,0,2,11
DEFAULT,7221,11,0,2,13
DEFAULT,16534,14,2,2,18
DEFAULT,962,5,0,2,7
DEFAULT,32454,10,1,3,14
DEFAULT,2977,13,0,4,17
DEFAULT,552,5,0,1,6
DEFAULT,15782,15,0,1,16
DEFAULT,42903,12,0,2,14
,,,,
DEFAULT,32885,13,1,0,14
DEFAULT,16780,10,2,2,14
DEFAULT,575,9,0,2,11
DEFAULT,1126,3,0,1,4
,,,,
,,,,
DEFAULT,95249,12,2,1,15
DEFAULT,1383,9,1,3,13
DEFAULT,12962,10,1,2,13
DEFAULT,47589,16,1,0,17
DEFAULT,11092,14,1,2,17
DEFAULT,558,6,1,2,9
DEFAULT,36921,14,0,2,16
DEFAULT,7664,14,1,1,16
DEFAULT,647,6,0,0,6
,,,,
,,,,
DEFAULT,663,10,1,2,13
DEFAULT,1467,5,1,3,9
DEFAULT,17377,14,1,3,18
DEFAULT,42015,13,1,1,15
,,,,
DEFAULT,12195,12,1,2,15
DEFAULT,29815,13,0,1,14
DEFAULT,12453,11,0,2,13
DEFAULT,49012,13,0,2,15
DEFAULT,754,11,2,2,15
DEFAULT,17180,12,1,2,15
DEFAULT,3520,13,1,4,18
DEFAULT,2113,7,0,2,9
,,,,
,,,,
,,,,
DEFAULT,546,7,0,0,7
DEFAULT,20713,7,1,3,11
DEFAULT,12351,11,0,3,14
DEFAULT,24240,12,0,3,15
DEFAULT,15230,13,0,2,15
,,,,
DEFAULT,332,5,1,1,7
DEFAULT,95119,12,1,1,14
DEFAULT,13549,10,1,1,12
DEFAULT,612,10,2,1,13
DEFAULT,631,6,0,3,9
DEFAULT,26752,11,1,1,13
DEFAULT,3928,7,2,3,12
DEFAULT,513,8,0,4,12
,,,,
DEFAULT,13956,13,1,3,17
DEFAULT,26709,16,0,2,18
DEFAULT,618,5,0,1,6
DEFAULT,24913,15,0,2,17
,,,,
DEFAULT,34849,11,0,4,15
DEFAULT,38963,11,1,1,13
DEFAULT,10580,11,2,0,13
DEFAULT,857,3,1,2,6
DEFAULT,1254,4,2,3,9
DEFAULT,9352,13,0,2,15
,,,,
DEFAULT,15681,14,0,2,16
DEFAULT,41912,11,1,2,14
DEFAULT,31532,10,0,1,11
,,,,
,,,,
DEFAULT,256,5,0,2,7
DEFAULT,999,2,0,3,5
DEFAULT,31174,15,0,2,17
DEFAULT,3775,9,1,2,12
DEFAULT,96700,12,0,2,14
DEFAULT,27934,13,1,2,16
DEFAULT,21344,8,0,2,10
DEFAULT,11898,12,1,3,16
DEFAULT,863,12,1,3,16
DEFAULT,3905,10,1,2,13
DEFAULT,13054,11,2,1,14
DEFAULT,653,9,2,2,13
DEFAULT,627,6,1,2,9
,,,,
DEFAULT,21375,13,1,2,16
DEFAULT,8736,10,1,2,13
,,,,
,,,,
DEFAULT,25674,15,0,1,16
DEFAULT,16999,11,1,3,15
DEFAULT,3568,9,0,2,11
,,,,
DEFAULT,619,10,0,1,11
DEFAULT,567,6,0,2,8
DEFAULT,290,7,1,0,8
DEFAULT,24368,11,0,2,13
DEFAULT,6465,14,0,2,16
DEFAULT,7017,11,2,3,16
DEFAULT,1060,4,1,1,6
DEFAULT,845,10,1,2,13
,,,,
DEFAULT,26063,13,0,2,15
DEFAULT,3815,7,1,4,12
DEFAULT,19308,12,2,2,16
DEFAULT,44547,11,0,1,12
DEFAULT,19696,14,2,2,18
DEFAULT,1251,10,0,4,14
,,,,
DEFAULT,458,6,1,3,10
DEFAULT,20922,9,1,2,12
DEFAULT,30683,12,1,2,15
DEFAULT,8290,11,1,3,15
,,,,
DEFAULT,4373,13,0,4,17
DEFAULT,9940,12,1,1,14
DEFAULT,33847,12,1,1,14
DEFAULT,10056,13,1,2,16
DEFAULT,19092,9,1,3,13
DEFAULT,7704,11,0,2,13
DEFAULT,14246,14,1,2,17
DEFAULT,1305,9,1,2,12
DEFAULT,38787,11,1,3,15
DEFAULT,5688,11,2,2,15
DEFAULT,16593,11,1,2,14
DEFAULT,7903,12,1,3,16
DEFAULT,15332,15,0,1,16
DEFAULT,794,3,2,2,7
DEFAULT,221,6,1,1,8
DEFAULT,19088,10,0,2,12
DEFAULT,615,10,0,2,12
DEFAULT,52252,12,2,2,16
DEFAULT,24867,8,0,1,9
DEFAULT,22786,14,2,2,18
DEFAULT,4650,11,1,4,16
,,,,
DEFAULT,1415,7,2,3,12
DEFAULT,22037,12,1,1,14
,,,,
DEFAULT,35067,11,1,1,13
DEFAULT,1112,4,0,0,4
,,,,
DEFAULT,839,7,2,1,10
DEFAULT,76246,10,0,3,13
DEFAULT,2161,12,0,3,15
DEFAULT,7781,15,2,2,19
DEFAULT,31772,13,1,2,16
DEFAULT,637,10,2,1,13
DEFAULT,245,9,1,2,12
DEFAULT,84742,10,1,4,15
DEFAULT,377,6,1,0,7
,,,,
DEFAULT,1311,11,1,2,14
DEFAULT,1094,3,1,1,5
DEFAULT,833,6,1,1,8
DEFAULT,9059,10,0,2,12
,,,,
,,,,
DEFAULT,21319,12,0,1,13
DEFAULT,31101,11,1,2,14
DEFAULT,732,7,2,1,10
DEFAULT,65764,10,0,2,12
DEFAULT,16324,11,1,1,13
DEFAULT,4626,13,2,2,17
DEFAULT,18181,11,1,3,15
DEFAULT,22869,14,2,2,18
DEFAULT,51022,12,1,2,15
,,,,
DEFAULT,18609,12,1,1,14
DEFAULT,17595,16,2,2,20
DEFAULT,701,7,1,1,9
DEFAULT,3232,14,0,1,15
DEFAULT,4997,9,1,2,12
,,,,
DEFAULT,1064,9,1,0,10
DEFAULT,899,4,0,1,5
DEFAULT,33493,12,2,2,16
DEFAULT,15481,10,2,3,15
DEFAULT,9472,12,1,4,17
DEFAULT,967,3,0,4,7
DEFAULT,983,9,1,4,14
DEFAULT,1026,4,2,1,7
DEFAULT,1867,8,0,2,10
DEFAULT,943,3,1,1,5
DEFAULT,59940,10,1,3,14
DEFAULT,4060,11,1,1,13
DEFAULT,1076,4,1,1,6
DEFAULT,57278,10,1,1,12
,,,,
DEFAULT,6621,11,2,2,15
DEFAULT,3843,11,1,0,12
DEFAULT,419,9,1,2,12
DEFAULT,1994,9,1,3,13
DEFAULT,431,8,2,2,12
DEFAULT,4469,13,2,1,16
DEFAULT,20177,12,2,2,16
DEFAULT,842,7,1,3,11
DEFAULT,40855,10,1,1,12
DEFAULT,37762,13,0,2,15
,,,,
DEFAULT,117,7,1,1,9
,,,,
,,,,
DEFAULT,1207,7,0,3,10
DEFAULT,16577,13,2,2,17
DEFAULT,6545,11,0,3,14
DEFAULT,9143,11,2,3,16
DEFAULT,565,10,0,1,11
DEFAULT,22296,9,1,3,13
DEFAULT,8451,10,2,2,14
DEFAULT,4413,11,1,3,15
DEFAULT,1082,4,0,0,4
DEFAULT,866,5,1,2,8
,,,,
DEFAULT,32233,11,1,1,13
,,,,
DEFAULT,14923,13,2,2,17
DEFAULT,70632,12,1,2,15
DEFAULT,16590,11,2,1,14
DEFAULT,7174,13,0,3,16
DEFAULT,21960,13,0,1,14
DEFAULT,2085,8,2,2,12
DEFAULT,593,8,1,0,9
DEFAULT,27046,13,2,1,16
DEFAULT,7958,9,1,2,12
DEFAULT,1143,7,1,2,10
DEFAULT,2300,10,1,2,13
DEFAULT,60263,12,1,2,15
DEFAULT,4929,12,1,3,16
DEFAULT,21333,12,2,3,17
DEFAULT,238,6,2,2,10
DEFAULT,2107,15,1,1,17
DEFAULT,23239,13,0,2,15
DEFAULT,371,6,1,3,10
DEFAULT,826,5,1,1,7
DEFAULT,4196,14,0,4,18
DEFAULT,302,7,0,2,9
DEFAULT,19718,11,1,3,15
DEFAULT,2120,10,1,3,14
DEFAULT,395,5,2,3,10
DEFAULT,9281,16,0,1,17
DEFAULT,15480,13,0,3,16
DEFAULT,389,3,2,1,6
,,,,
DEFAULT,526,6,1,3,10
DEFAULT,41219,11,1,1,13
DEFAULT,4407,10,1,4,15
DEFAULT,655,4,1,1,6
DEFAULT,1457,7,1,4,12
DEFAULT,2885,10,2,3,15
,,,,
DEFAULT,30896,7,1,1,9
DEFAULT,6690,11,1,1,13
DEFAULT,341,6,1,1,8
DEFAULT,209,6,1,1,8
DEFAULT,20478,10,0,2,12
DEFAULT,6426,13,0,1,14
DEFAULT,7608,11,1,3,15
DEFAULT,1073,5,0,1,6
DEFAULT,6241,11,1,2,14
,,,,
DEFAULT,16310,12,1,3,16
DEFAULT,37144,13,0,2,15
DEFAULT,61345,10,1,4,15
DEFAULT,766,7,2,3,12
DEFAULT,947,11,0,2,13
DEFAULT,1250,2,0,0,2
DEFAULT,619,6,2,2,10
DEFAULT,10602,15,1,3,19
,,,,
DEFAULT,182,9,1,1,11
DEFAULT,822,7,2,4,13
DEFAULT,19865,12,0,2,14
DEFAULT,838,6,0,1,7
DEFAULT,19844,13,1,2,16
DEFAULT,224,7,1,1,9
DEFAULT,10316,12,1,2,15
,,,,
DEFAULT,627,7,0,0,7
DEFAULT,317,9,0,0,9
DEFAULT,650,5,1,3,9
DEFAULT,343,7,0,1,8
,,,,
DEFAULT,2351,10,2,2,14
DEFAULT,4642,13,2,1,16
,,,,
DEFAULT,791,3,2,1,6
DEFAULT,20600,13,1,3,17
DEFAULT,8185,13,0,3,16
DEFAULT,1126,4,1,1,6
DEFAULT,16105,14,2,3,19
DEFAULT,1173,9,1,3,13
DEFAULT,5713,8,0,3,11
DEFAULT,16682,13,0,2,15
DEFAULT,118,7,1,2,10
,,,,
DEFAULT,13262,13,1,1,15
DEFAULT,29173,14,1,2,17
DEFAULT,663,9,2,3,14
DEFAULT,66850,13,0,1,14
,,,,
DEFAULT,3760,11,1,3,15
,,,,
DEFAULT,339,5,1,2,8
DEFAULT,4355,14,0,3,17
,,,,
,,,,
DEFAULT,4259,13,1,3,17
DEFAULT,3419,10,2,3,15
DEFAULT,3161,13,2,2,17
DEFAULT,10151,11,2,1,14
DEFAULT,1094,8,1,1,10
DEFAULT,55676,12,0,2,14
DEFAULT,726,8,0,2,10
DEFAULT,2391,12,1,3,16
DEFAULT,32092,13,1,2,16
DEFAULT,513,8,2,3,13
,,,,
,,,,
DEFAULT,1935,10,2,3,15
DEFAULT,726,7,0,1,8
DEFAULT,30139,12,0,1,13
DEFAULT,877,9,0,0,9
DEFAULT,16403,12,1,3,16
DEFAULT,8763,12,1,2,15
DEFAULT,328,9,1,3,13
DEFAULT,526,7,1,2,10
DEFAULT,4589,14,0,4,18
DEFAULT,1309,10,1,2,13
,,,,
DEFAULT,5955,14,1,2,17
DEFAULT,10701,11,1,3,15
DEFAULT,6321,11,2,1,14
DEFAULT,24109,15,0,1,16
DEFAULT,7648,10,1,3,14
DEFAULT,12156,10,2,3,15
DEFAULT,8898,13,1,1,15
DEFAULT,977,7,0,2,9
DEFAULT,12206,12,1,3,16
DEFAULT,1088,3,0,2,5
,,,,
DEFAULT,17000,12,1,1,14
DEFAULT,13132,12,1,2,15
DEFAULT,182,8,0,1,9
DEFAULT,790,7,0,1,8
DEFAULT,733,3,0,2,5
DEFAULT,407,5,1,0,6
