strategy,money,countries,utilities,stations,totalLandsOwned
GREEDY,11907,6,1,1,8
DEFAULT,55550,8,0,0,8
GREEDY,14948,7,1,3,11
GREEDY,24986,8,0,1,9
GREEDY,22680,8,1,2,11
DEFAULT,46998,6,0,0,6
GREEDY,18879,8,0,1,9
GREEDY,24589,9,0,1,10
UTILITY_GUY,64895,5,1,4,10
UTILITY_GUY,31588,5,0,2,7
GREEDY,24941,11,1,1,13
STINGY,43557,4,1,0,5
DEFAULT,47478,6,0,0,6
GREEDY,19136,8,0,0,8
STINGY,78738,5,1,0,6
GREEDY,30180,9,1,1,11
STATION_GUY,56027,7,0,1,8
GREEDY,33797,10,1,0,11
GREEDY,29491,8,0,1,9
GREEDY,17455,10,1,1,12
GREEDY,32576,10,1,1,12
STATION_GUY,75617,7,0,2,9
STATION_GUY,24698,4,0,3,7
STATION_GUY,15349,4,1,1,6
DEFAULT,32643,8,0,1,9
GREEDY,14745,7,0,0,7
GREEDY,20037,9,1,1,11
DEFAULT,43921,7,1,0,8
GREEDY,23542,6,1,1,8
DEFAULT,30423,7,1,0,8
GREEDY,17015,11,1,0,12
GREEDY,89366,7,0,0,7
GREEDY,13643,10,0,1,11
GREEDY,76511,8,1,0,9
GREEDY,18010,6,1,1,8
DEFAULT,46900,9,0,1,10
GREEDY,17406,6,0,0,6
GREEDY,19086,8,1,1,10
GREEDY,16783,7,2,0,9
DEFAULT,40366,7,0,1,8
GREEDY,26740,8,1,1,10
GREEDY,46644,9,1,1,11
GREEDY,26073,9,1,1,11
GREEDY,18567,8,0,1,9
DEFAULT,75650,5,0,2,7
STATION_GUY,37999,6,0,1,7
DEFAULT,68893,9,1,1,11
GREEDY,17556,11,0,3,14
DEFAULT,32795,7,0,0,7
GREEDY,28428,8,1,1,10
STATION_GUY,49884,7,1,1,9
GREEDY,14714,8,0,3,11
DEFAULT,26673,9,0,0,9
UTILITY_GUY,26610,3,0,1,4
GREEDY,29919,9,0,1,10
DEFAULT,66780,7,0,1,8
STATION_GUY,61433,5,0,1,6
STATION_GUY,18173,2,1,3,6
GREEDY,26599,8,0,1,9
GREEDY,35655,6,1,0,7
UTILITY_GUY,58632,5,1,0,6
STINGY,94367,3,0,0,3
GREEDY,19891,7,1,2,10
STATION_GUY,43230,5,0,2,7
STATION_GUY,52140,6,0,1,7
GREEDY,26994,11,0,0,11
GREEDY,42002,9,0,1,10
STATION_GUY,34221,7,0,1,8
GREEDY,21403,6,1,1,8
STINGY,86142,4,0,0,4
STATION_GUY,65876,5,0,4,9
GREEDY,15379,9,0,1,10
DEFAULT,28466,6,0,1,7
GREEDY,22423,10,2,0,12
GREEDY,15818,11,0,0,11
DEFAULT,42229,5,1,1,7
GREEDY,32965,8,1,1,10
GREEDY,37814,11,0,1,12
GREEDY,26432,8,1,1,10
GREEDY,14452,7,1,2,10
UTILITY_GUY,40694,5,1,0,6
DEFAULT,77610,5,1,1,7
DEFAULT,53763,7,2,1,10
GREEDY,18636,9,0,0,9
GREEDY,20451,5,1,2,8
GREEDY,34387,6,0,0,6
DEFAULT,97897,9,0,2,11
UTILITY_GUY,24232,6,1,1,8
GREEDY,26378,7,1,0,8
GREEDY,19971,7,1,1,9
DEFAULT,17488,6,0,1,7
DEFAULT,62270,6,1,0,7
GREEDY,36755,8,1,1,10
STATION_GUY,50420,7,1,2,10
GREEDY,18325,10,0,1,11
STATION_GUY,96492,7,0,4,11
GREEDY,17022,7,0,2,9
GREEDY,15638,9,1,1,11
GREEDY,23126,8,0,0,8
GREEDY,28057,9,1,3,13
GREEDY,98867,10,0,2,12
GREEDY,42044,8,0,1,9
GREEDY,47933,10,2,1,13
GREEDY,15650,8,0,0,8
STATION_GUY,61677,4,1,1,6
GREEDY,20437,10,0,3,13
DEFAULT,23945,7,0,1,8
GREEDY,34243,9,0,0,9
GREEDY,14207,10,0,1,11
UTILITY_GUY,87797,6,2,0,8
GREEDY,14286,11,0,1,12
STATION_GUY,29569,5,0,4,9
STATION_GUY,34846,6,0,2,8
DEFAULT,98459,7,0,2,9
UTILITY_GUY,36977,7,1,1,9
GREEDY,12546,9,0,1,10
STATION_GUY,72173,6,1,2,9
UTILITY_GUY,50084,7,0,0,7
GREEDY,17008,6,0,1,7
UTILITY_GUY,31257,5,2,0,7
GREEDY,32488,7,0,0,7
DEFAULT,35775,6,0,1,7
DEFAULT,66705,6,0,0,6
UTILITY_GUY,34283,7,2,1,10
GREEDY,25660,11,0,1,12
STINGY,36218,4,1,0,5
STATION_GUY,58036,7,1,2,10
DEFAULT,30095,5,0,1,6
UTILITY_GUY,48150,6,1,0,7
GREEDY,21315,7,0,0,7
GREEDY,21127,9,0,0,9
GREEDY,21218,6,1,0,7
GREEDY,17576,7,1,0,8
DEFAULT,91969,6,0,1,7
DEFAULT,56005,7,0,0,7
UTILITY_GUY,69642,7,1,0,8
GREEDY,18551,11,0,1,12
GREEDY,35137,9,0,0,9
GREEDY,37112,11,0,1,12
DEFAULT,29922,7,0,0,7
GREEDY,13582,13,0,1,14
GREEDY,17893,8,0,2,10
DEFAULT,50776,6,0,1,7
GREEDY,14984,13,2,2,17
GREEDY,29325,9,0,1,10
STATION_GUY,26753,6,0,1,7
GREEDY,15961,8,0,1,9
GREEDY,25327,8,0,2,10
GREEDY,19785,8,1,2,11
STATION_GUY,34784,3,1,1,5
STATION_GUY,30672,3,0,2,5
DEFAULT,27086,5,1,3,9
GREEDY,27059,9,0,0,9
GREEDY,24325,7,0,1,8
UTILITY_GUY,24659,6,1,0,7
DEFAULT,85526,9,0,1,10
DEFAULT,45605,4,0,1,5
GREEDY,15901,9,0,1,10
UTILITY_GUY,26473,6,0,0,6
DEFAULT,30921,7,0,1,8
GREEDY,24916,10,0,0,10
DEFAULT,53274,4,0,0,4
DEFAULT,23423,6,0,0,6
GREEDY,35835,6,0,0,6
GREEDY,49088,9,0,0,9
GREEDY,18370,6,1,2,9
GREEDY,20288,11,0,2,13
UTILITY_GUY,38777,9,1,1,11
GREEDY,22330,9,0,2,11
GREEDY,23930,8,0,1,9
DEFAULT,23219,9,0,0,9
GREEDY,16816,7,0,1,8
DEFAULT,41765,6,0,1,7
GREEDY,37842,9,0,2,11
GREEDY,15636,9,2,1,12
GREEDY,27906,9,0,1,10
DEFAULT,34289,9,0,0,9
DEFAULT,64695,6,1,0,7
GREEDY,22452,8,0,3,11
GREEDY,22306,11,0,0,11
STATION_GUY,33499,6,0,1,7
GREEDY,32897,6,0,1,7
GREEDY,16461,6,1,0,7
GREEDY,28353,8,0,0,8
GREEDY,25830,9,0,0,9
STATION_GUY,50287,5,0,3,8
DEFAULT,30897,6,1,1,8
STATION_GUY,16474,5,0,2,7
GREEDY,17665,9,0,1,10
GREEDY,14968,7,1,1,9
DEFAULT,24484,13,0,0,13
GREEDY,21323,11,1,0,12
UTILITY_GUY,52367,6,1,0,7
STATION_GUY,18418,7,1,4,12
DEFAULT,37406,8,1,1,10
GREEDY,23271,7,0,1,8
UTILITY_GUY,50730,3,1,2,6
GREEDY,26833,9,1,2,12
DEFAULT,45573,5,0,1,6
GREEDY,10834,10,0,0,10
GREEDY,12835,9,1,2,12
STINGY,70657,7,0,1,8
STATION_GUY,63617,6,0,2,8
DEFAULT,45184,6,0,1,7
UTILITY_GUY,63594,4,0,0,4
GREEDY,14154,8,0,2,10
GREEDY,49296,11,0,1,12
GREEDY,23886,10,1,0,11
UTILITY_GUY,37978,6,1,0,7
GREEDY,25385,11,1,1,13
DEFAULT,82264,7,0,1,8
DEFAULT,36651,11,1,0,12
GREEDY,34494,6,0,1,7
GREEDY,24359,10,1,1,12
GREEDY,25287,6,0,2,8
GREEDY,79220,7,1,2,10
STATION_GUY,41270,3,0,3,6
GREEDY,75906,9,1,2,12
STATION_GUY,41152,7,0,2,9
GREEDY,28936,7,2,1,10
GREEDY,31988,11,2,0,13
GREEDY,11762,7,0,2,9
DEFAULT,27708,7,0,1,8
GREEDY,26131,8,0,0,8
GREEDY,19478,9,1,2,12
DEFAULT,50959,7,0,0,7
DEFAULT,49914,6,0,0,6
GREEDY,32923,6,0,1,7
GREEDY,18356,5,1,1,7
GREEDY,17707,7,0,0,7
GREEDY,19410,7,1,2,10
GREEDY,10272,10,1,1,12
GREEDY,24958,7,1,0,8
STATION_GUY,35153,6,1,1,8
UTILITY_GUY,42853,4,2,1,7
DEFAULT,45079,9,0,2,11
GREEDY,32955,6,0,0,6
STATION_GUY,20323,5,1,0,6
GREEDY,19830,8,0,1,9
STATION_GUY,26131,5,0,0,5
GREEDY,62151,8,0,4,12
DEFAULT,41379,7,0,1,8
GREEDY,19241,9,0,0,9
GREEDY,31266,8,2,1,11
GREEDY,21638,8,0,0,8
STATION_GUY,32169,5,0,1,6
GREEDY,36102,8,0,2,10
GREEDY,19609,8,0,3,11
GREEDY,12523,5,0,1,6
DEFAULT,41915,6,1,0,7
GREEDY,23945,8,1,2,11
DEFAULT,60734,7,0,1,8
STATION_GUY,36606,6,0,0,6
STATION_GUY,49812,6,1,2,9
GREEDY,95074,11,0,0,11
STATION_GUY,61603,5,0,3,8
DEFAULT,27973,5,0,2,7
GREEDY,18822,8,0,1,9
STATION_GUY,33423,5,1,0,6
GREEDY,16336,8,0,3,11
UTILITY_GUY,64061,6,2,1,9
UTILITY_GUY,66177,4,1,0,5
STATION_GUY,45412,4,1,0,5
GREEDY,14212,7,0,1,8
GREEDY,32118,8,0,0,8
STATION_GUY,13042,2,0,3,5
STINGY,86812,5,0,0,5
GREEDY,13390,6,0,2,8
DEFAULT,49741,6,1,0,7
DEFAULT,73803,7,1,2,10
STINGY,74120,6,0,0,6
GREEDY,34306,9,0,1,10
STATION_GUY,22632,6,1,1,8
GREEDY,20651,8,0,2,10
GREEDY,30515,9,0,1,10
STATION_GUY,57320,6,0,2,8
UTILITY_GUY,40474,4,0,1,5
DEFAULT,36858,4,0,0,4
UTILITY_GUY,46680,4,0,1,5
STATION_GUY,41251,4,0,1,5
GREEDY,28626,9,1,1,11
GREEDY,19290,8,1,0,9
UTILITY_GUY,57233,3,0,1,4
GREEDY,21543,9,1,2,12
STATION_GUY,33819,3,0,2,5
UTILITY_GUY,45503,6,0,0,6
GREEDY,19371,9,0,0,9
GREEDY,22721,10,1,0,11
GREEDY,99206,10,0,1,11
UTILITY_GUY,45690,9,0,0,9
GREEDY,29587,11,0,2,13
UTILITY_GUY,49648,3,0,0,3
STATION_GUY,41330,3,0,4,7
GREEDY,24754,7,0,2,9
GREEDY,43039,6,0,0,6
STATION_GUY,71676,6,2,2,10
UTILITY_GUY,29881,4,2,2,8
DEFAULT,34007,5,0,0,5
GREEDY,16538,10,1,1,12
GREEDY,23472,12,0,0,12
GREEDY,18141,7,0,0,7
GREEDY,19656,8,1,1,10
GREEDY,17194,3,2,2,7
DEFAULT,45615,5,1,0,6
DEFAULT,40480,8,0,0,8
GREEDY,25955,8,1,0,9
DEFAULT,55245,7,1,1,9
GREEDY,14956,9,1,0,10
GREEDY,28394,8,0,1,9
DEFAULT,29844,8,0,0,8
GREEDY,35380,8,1,1,10
GREEDY,23042,7,2,3,12
GREEDY,12552,8,0,0,8
DEFAULT,46827,6,0,1,7
GREEDY,27811,12,0,0,12
UTILITY_GUY,42689,6,1,0,7
GREEDY,12720,8,0,2,10
STATION_GUY,50682,4,0,2,6
GREEDY,30881,10,0,0,10
STATION_GUY,55657,6,0,1,7
GREEDY,22729,8,1,1,10
STATION_GUY,32350,5,1,1,7
GREEDY,31661,6,0,0,6
GREEDY,30339,8,1,2,11
GREEDY,16457,6,0,0,6
GREEDY,15455,8,2,2,12
GREEDY,20005,7,0,1,8
GREEDY,21264,10,0,1,11
GREEDY,22306,9,0,1,10
GREEDY,21969,12,0,2,14
GREEDY,40960,12,1,0,13
GREEDY,22869,5,1,3,9
GREEDY,11518,8,1,0,9
GREEDY,24385,11,0,1,12
DEFAULT,25649,6,0,1,7
GREEDY,68445,9,0,1,10
STATION_GUY,21621,5,0,1,6
DEFAULT,37953,8,1,1,10
GREEDY,17869,9,0,2,11
GREEDY,32913,9,0,0,9
UTILITY_GUY,21781,5,0,0,5
UTILITY_GUY,32340,9,1,3,13
GREEDY,27649,8,1,4,13
UTILITY_GUY,55315,5,1,0,6
GREEDY,22174,8,1,2,11
GREEDY,18776,8,0,2,10
STATION_GUY,18868,5,0,3,8
GREEDY,23893,10,0,2,12
GREEDY,16411,6,0,1,7
GREEDY,14885,11,0,2,13
DEFAULT,73282,10,0,1,11
GREEDY,30273,11,0,0,11
GREEDY,20405,6,1,2,9
STATION_GUY,31600,8,0,2,10
GREEDY,23648,9,0,1,10
DEFAULT,21754,3,0,0,3
UTILITY_GUY,44743,5,0,0,5
DEFAULT,88001,8,2,1,11
DEFAULT,70564,9,0,2,11
GREEDY,21508,8,0,0,8
GREEDY,13171,8,0,0,8
GREEDY,12661,10,0,2,12
STATION_GUY,29330,4,0,4,8
STATION_GUY,63698,3,0,1,4
GREEDY,15748,7,0,2,9
STATION_GUY,9651,2,0,4,6
STATION_GUY,48250,7,0,0,7
GREEDY,26883,8,1,1,10
STATION_GUY,39085,7,0,1,8
DEFAULT,23342,5,1,0,6
DEFAULT,30940,5,1,1,7
GREEDY,17268,10,0,0,10
STATION_GUY,33383,4,1,1,6
GREEDY,21670,12,0,1,13
DEFAULT,74567,5,1,0,6
STATION_GUY,53268,5,0,2,7
GREEDY,20588,6,1,1,8
GREEDY,43452,6,1,1,8
GREEDY,40976,10,0,0,10
GREEDY,24456,10,0,1,11
STATION_GUY,88362,7,0,1,8
GREEDY,23457,9,0,2,11
DEFAULT,64539,6,1,0,7
GREEDY,8471,8,1,0,9
GREEDY,73694,11,0,1,12
GREEDY,16338,7,1,4,12
GREEDY,24122,6,0,1,7
DEFAULT,57323,9,0,1,10
GREEDY,11703,9,1,2,12
UTILITY_GUY,43393,7,0,0,7
GREEDY,33445,15,1,0,16
STATION_GUY,51479,4,1,4,9
GREEDY,9821,6,0,4,10
GREEDY,26398,8,1,1,10
STATION_GUY,25350,6,0,3,9
DEFAULT,40992,9,1,0,10
GREEDY,22397,8,0,0,8
GREEDY,28204,8,1,0,9
STATION_GUY,33495,4,1,2,7
UTILITY_GUY,34127,7,1,0,8
GREEDY,28585,11,1,1,13
UTILITY_GUY,59723,6,1,0,7
GREEDY,19730,9,0,1,10
GREEDY,17214,8,0,1,9
GREEDY,19873,12,0,1,13
GREEDY,19844,6,1,0,7
GREEDY,20518,9,1,0,10
STATION_GUY,24542,5,1,4,10
UTILITY_GUY,73960,7,1,0,8
GREEDY,45889,10,0,1,11
STATION_GUY,28304,5,0,0,5
STATION_GUY,38589,4,0,1,5
GREEDY,38295,12,2,0,14
DEFAULT,73510,7,1,2,10
GREEDY,85775,8,1,0,9
GREEDY,12952,10,1,2,13
GREEDY,45430,9,0,3,12
DEFAULT,50796,5,0,1,6
GREEDY,97427,7,0,0,7
GREEDY,23677,6,2,1,9
GREEDY,28599,7,0,1,8
GREEDY,14490,8,0,0,8
STATION_GUY,30191,5,0,2,7
DEFAULT,44843,7,0,2,9
UTILITY_GUY,57985,6,1,0,7
GREEDY,18445,9,2,1,12
UTILITY_GUY,30521,6,0,1,7
GREEDY,17555,7,0,1,8
UTILITY_GUY,42343,5,0,0,5
STATION_GUY,53934,2,1,0,3
GREEDY,16737,6,0,2,8
GREEDY,13025,6,1,1,8
GREEDY,27399,8,0,1,9
DEFAULT,37456,8,0,0,8
STATION_GUY,17036,2,1,4,7
GREEDY,27591,10,1,1,12
GREEDY,25241,9,0,0,9
GREEDY,28168,10,0,1,11
GREEDY,22438,9,0,1,10
STATION_GUY,32462,6,1,0,7
GREEDY,11807,11,1,1,13
GREEDY,56975,9,0,0,9
GREEDY,10161,9,1,1,11
DEFAULT,38156,7,0,0,7
GREEDY,46076,10,1,0,11
GREEDY,23841,10,0,0,10
GREEDY,20715,11,1,1,13
GREEDY,19720,5,0,0,5
GREEDY,26886,14,0,0,14
GREEDY,13241,10,1,1,12
GREEDY,23188,8,0,1,9
UTILITY_GUY,37703,5,2,0,7
UTILITY_GUY,17824,4,0,1,5
GREEDY,15894,9,1,0,10
STATION_GUY,18447,6,1,4,11
DEFAULT,39862,5,1,1,7
GREEDY,26453,6,0,1,7
GREEDY,10880,16,0,0,16
GREEDY,38010,10,0,1,11
STATION_GUY,34292,5,0,0,5
GREEDY,27923,12,0,0,12
UTILITY_GUY,73358,5,0,0,5
GREEDY,22357,8,1,0,9
GREEDY,32705,5,1,2,8
STATION_GUY,30037,8,1,2,11
GREEDY,13790,7,0,0,7
GREEDY,49324,7,2,2,11
GREEDY,21006,7,0,2,9
UTILITY_GUY,28094,5,2,0,7
DEFAULT,18091,7,0,2,9
GREEDY,16322,12,0,0,12
GREEDY,30419,9,0,0,9
GREEDY,21847,7,1,3,11
GREEDY,45962,9,1,0,10
GREEDY,32543,8,1,1,10
GREEDY,42600,7,0,1,8
DEFAULT,28511,6,1,0,7
STATION_GUY,40126,5,0,0,5
UTILITY_GUY,26352,7,0,0,7
UTILITY_GUY,38566,6,1,0,7
UTILITY_GUY,31765,7,1,1,9
GREEDY,12766,9,0,2,11
STATION_GUY,48476,4,0,1,5
STATION_GUY,50759,5,0,1,6
DEFAULT,85806,6,0,2,8
GREEDY,12758,4,0,1,5
GREEDY,28080,12,1,0,13
GREEDY,25288,9,1,1,11
GREEDY,14593,5,0,2,7
DEFAULT,38134,6,0,0,6
GREEDY,46900,8,1,2,11
GREEDY,14147,9,1,1,11
DEFAULT,31425,7,0,2,9
UTILITY_GUY,39722,4,1,0,5
GREEDY,16915,8,0,0,8
STATION_GUY,54975,4,0,2,6
STINGY,70049,2,0,2,4
STATION_GUY,53359,6,0,2,8
GREEDY,17394,11,1,0,12
GREEDY,21099,8,2,1,11
GREEDY,89884,7,0,0,7
STATION_GUY,13248,5,0,0,5
