strategy,money,countries,utilities,stations,totalLandsOwned
GREEDY,571,10,2,1,13
DEFAULT,248,7,2,0,9
DEFAULT,995,4,1,1,6
GREEDY,5902,14,2,2,18
GREEDY,4805,10,1,2,13
DEFAULT,675,4,1,0,5
DEFAULT,996,6,0,1,7
DEFAULT,559,7,0,3,10
DEFAULT,17758,10,1,2,13
DEFAULT,24536,11,0,2,13
GREEDY,15406,14,1,2,17
DEFAULT,485,8,2,2,12
DEFAULT,580,9,2,2,13
GREEDY,701,9,0,0,9
DEFAULT,885,4,0,2,6
GREEDY,32888,12,2,3,17
DEFAULT,1117,7,2,0,9
GREEDY,924,11,2,4,17
GREEDY,11778,14,0,2,16
DEFAULT,1420,6,1,2,9
GREEDY,3803,13,1,3,17
GREEDY,658,5,1,4,10
GREEDY,298,13,1,4,18
GREEDY,2275,10,1,2,13
DEFAULT,24625,11,1,3,15
GREEDY,5566,14,1,2,17
GREEDY,901,11,2,2,15
GREEDY,17407,13,1,4,18
GREEDY,1953,7,2,4,13
DEFAULT,680,10,0,1,11
DEFAULT,205,6,1,0,7
GREEDY,5517,14,2,2,18
GREEDY,2750,14,1,3,18
GREEDY,7166,13,1,2,16
DEFAULT,760,3,2,0,5
DEFAULT,865,5,1,1,7
DEFAULT,1430,7,2,3,12
GREEDY,851,13,1,2,16
DEFAULT,667,7,0,0,7
DEFAULT,9125,10,1,1,12
DEFAULT,928,8,1,3,12
GREEDY,60,9,1,0,10
DEFAULT,772,3,1,2,6
GREEDY,1730,11,0,3,14
GREEDY,7082,14,2,3,19
GREEDY,299,9,1,1,11
DEFAULT,464,4,0,1,5
GREEDY,6944,15,2,3,20
DEFAULT,1415,5,0,0,5
GREEDY,922,5,0,0,5
GREEDY,716,11,1,3,15
GREEDY,992,6,0,3,9
GREEDY,2366,9,1,4,14
GREEDY,1932,12,1,2,15
GREEDY,2886,10,0,3,13
GREEDY,6017,13,1,3,17
DEFAULT,1527,7,0,0,7
GREEDY,4547,12,1,3,16
DEFAULT,14172,11,1,2,14
GREEDY,62798,13,0,2,15
DEFAULT,53986,11,1,1,13
DEFAULT,372,6,2,2,10
DEFAULT,1127,6,0,4,10
DEFAULT,1177,4,0,0,4
DEFAULT,945,2,1,4,7
GREEDY,2590,11,2,3,16
DEFAULT,849,9,0,1,10
DEFAULT,704,6,2,2,10
GREEDY,6127,12,1,2,15
GREEDY,8569,14,1,2,17
DEFAULT,65236,10,1,1,12
DEFAULT,9350,10,0,3,13
GREEDY,3396,14,1,2,17
GREEDY,1642,11,0,3,14
GREEDY,608,6,1,3,10
DEFAULT,1558,6,0,1,7
DEFAULT,7508,12,0,1,13
DEFAULT,3668,8,1,2,11
GREEDY,942,10,1,3,14
DEFAULT,384,6,1,2,9
GREEDY,3706,16,2,1,19
DEFAULT,9345,12,1,1,14
DEFAULT,1009,6,2,1,9
DEFAULT,658,6,1,0,7
GREEDY,214,10,1,2,13
GREEDY,3822,11,1,2,14
GREEDY,770,10,1,3,14
DEFAULT,12725,13,0,2,15
GREEDY,9976,14,2,3,19
DEFAULT,57288,11,1,0,12
GREEDY,4268,17,1,2,20
DEFAULT,21551,10,1,2,13
DEFAULT,1703,8,1,3,12
GREEDY,1929,13,1,2,16
GREEDY,565,6,1,1,8
GREEDY,10411,11,1,2,14
GREEDY,1778,13,1,2,16
GREEDY,446,10,1,0,11
GREEDY,4139,7,2,2,11
DEFAULT,1106,3,0,1,4
GREEDY,1964,14,1,1,16
GREEDY,1148,14,1,1,16
