strategy,money,countries,utilities,stations,totalLandsOwned
GREEDY,2072,15,2,3,20
GREEDY,5516,14,2,4,20
STINGY,1686,2,0,1,3
GREEDY,1265,12,2,3,17
STINGY,756,4,0,0,4
STINGY,1850,1,0,0,1
GREEDY,4533,16,2,3,21
STINGY,1666,3,0,0,3
GREEDY,3831,14,2,3,19
GREEDY,2587,16,2,3,21
STINGY,1497,3,0,0,3
GREEDY,5946,15,2,2,19
GREEDY,7547,14,2,3,19
STINGY,590,6,1,0,7
GREEDY,6053,16,2,2,20
GREEDY,2384,15,2,2,19
STINGY,2891,1,1,0,2
GREEDY,3744,14,1,1,16
GREEDY,707,10,1,4,15
GREEDY,3378,16,1,2,19
STINGY,704,7,0,1,8
GREEDY,10614,15,1,3,19
GREEDY,12305,14,2,3,19
GREEDY,5055,16,1,3,20
STINGY,952,3,0,0,3
GREEDY,3153,15,1,4,20
GREEDY,1046,11,2,3,16
STINGY,1085,6,0,1,7
STINGY,999,7,0,0,7
GREEDY,4954,18,2,2,22
GREEDY,6175,15,1,1,17
GREEDY,4812,13,2,2,17
GREEDY,3457,16,1,3,20
STINGY,922,3,0,2,5
GREEDY,3555,15,1,3,19
STINGY,1613,2,1,0,3
STINGY,967,5,0,0,5
STINGY,1368,5,0,1,6
STINGY,1042,4,0,0,4
STINGY,1746,4,1,1,6
STINGY,1202,4,0,0,4
STINGY,2325,5,0,1,6
STINGY,1332,4,0,1,5
GREEDY,1853,18,2,3,23
STINGY,1842,4,0,1,5
GREEDY,7470,16,2,4,22
STINGY,1310,3,0,0,3
GREEDY,6003,17,2,3,22
STINGY,1274,5,0,1,6
STINGY,1495,3,1,1,5
STINGY,1397,0,0,0,0
STINGY,1198,4,0,0,4
STINGY,1618,1,0,0,1
GREEDY,3479,16,2,2,20
STINGY,1474,4,0,1,5
GREEDY,6196,16,2,2,20
GREEDY,2352,18,2,4,24
STINGY,1830,3,0,0,3
STINGY,1498,1,1,0,2
GREEDY,1588,14,1,2,17
STINGY,1231,5,1,1,7
GREEDY,4438,14,1,4,19
GREEDY,4077,16,0,3,19
STINGY,2107,4,0,2,6
GREEDY,3802,15,1,3,19
GREEDY,5974,18,1,3,22
GREEDY,6411,17,1,3,21
STINGY,2343,6,1,2,9
STINGY,1890,1,0,0,1
GREEDY,3587,12,2,2,16
STINGY,1813,2,0,1,3
GREEDY,4682,18,1,2,21
GREEDY,4485,15,1,2,18
GREEDY,2066,19,2,2,23
GREEDY,4605,17,1,3,21
GREEDY,5869,17,2,3,22
GREEDY,2391,17,1,3,21
STINGY,1914,3,1,2,6
STINGY,1320,1,0,2,3
GREEDY,1737,13,2,4,19
GREEDY,6379,17,2,4,23
GREEDY,3786,17,2,3,22
GREEDY,3300,17,2,3,22
STINGY,1064,6,0,0,6
STINGY,1509,4,0,1,5
STINGY,945,4,0,1,5
GREEDY,3006,19,1,2,22
GREEDY,4517,16,2,3,21
GREEDY,6300,17,1,3,21
GREEDY,1769,13,1,4,18
STINGY,3526,2,0,4,6
GREEDY,1874,15,2,4,21
STINGY,2335,3,0,1,4
GREEDY,5343,17,1,4,22
STINGY,1172,5,0,0,5
GREEDY,4801,18,0,3,21
GREEDY,2378,16,1,4,21
GREEDY,1901,15,1,4,20
GREEDY,3401,17,2,3,22
GREEDY,3500,14,1,4,19
GREEDY,5107,16,2,2,20
GREEDY,5227,14,1,2,17
GREEDY,1676,15,2,3,20
GREEDY,5364,14,2,3,19
STINGY,1335,2,0,2,4
GREEDY,4744,15,2,3,20
GREEDY,3083,19,1,4,24
STINGY,2454,3,1,2,6
GREEDY,4874,13,2,3,18
GREEDY,6696,16,2,3,21
GREEDY,3679,16,1,2,19
GREEDY,2195,17,2,1,20
STINGY,896,4,0,1,5
STINGY,1098,4,0,1,5
GREEDY,8985,17,1,3,21
STINGY,1799,1,0,0,1
GREEDY,9933,16,1,3,20
STINGY,1956,4,0,0,4
STINGY,1644,3,1,1,5
GREEDY,1953,16,2,2,20
GREEDY,3007,15,2,2,19
GREEDY,1984,14,1,2,17
GREEDY,1252,15,1,4,20
STINGY,1786,0,0,0,0
GREEDY,2766,17,2,3,22
GREEDY,479,10,2,3,15
GREEDY,8362,14,2,2,18
GREEDY,5141,14,2,3,19
GREEDY,4102,16,2,1,19
GREEDY,4578,17,1,4,22
GREEDY,4252,18,0,2,20
GREEDY,4274,17,2,4,23
GREEDY,3077,20,1,4,25
STINGY,1320,1,1,0,2
STINGY,1987,0,0,0,0
GREEDY,4286,16,1,4,21
STINGY,1947,3,1,0,4
GREEDY,2551,17,2,4,23
GREEDY,3340,18,2,2,22
STINGY,2746,2,1,2,5
GREEDY,2655,16,2,2,20
STINGY,1395,3,1,0,4
STINGY,1523,3,0,0,3
GREEDY,4781,15,1,3,19
GREEDY,1128,8,2,3,13
STINGY,1318,0,0,2,2
STINGY,2043,2,0,0,2
GREEDY,3286,15,1,4,20
GREEDY,2107,14,1,4,19
GREEDY,3349,14,1,2,17
GREEDY,3289,16,0,4,20
GREEDY,5935,17,2,3,22
GREEDY,2013,17,2,3,22
GREEDY,5700,17,2,3,22
STINGY,1282,4,0,0,4
STINGY,1544,2,1,0,3
STINGY,2017,7,1,2,10
STINGY,1104,4,0,1,5
GREEDY,9212,17,1,3,21
GREEDY,4224,14,1,3,18
GREEDY,1393,18,0,3,21
GREEDY,2148,16,2,3,21
STINGY,1446,0,0,1,1
STINGY,1472,1,0,1,2
GREEDY,1571,15,1,3,19
GREEDY,2143,15,2,4,21
GREEDY,3159,14,1,3,18
GREEDY,2414,20,2,2,24
GREEDY,3078,13,1,4,18
GREEDY,2901,15,2,2,19
STINGY,1438,1,0,1,2
GREEDY,6156,16,2,2,20
GREEDY,4831,15,2,3,20
GREEDY,2175,15,2,4,21
STINGY,981,1,1,1,3
GREEDY,2235,12,2,3,17
GREEDY,3072,16,2,4,22
STINGY,1467,3,0,0,3
GREEDY,1863,18,0,4,22
STINGY,1626,3,0,1,4
GREEDY,2407,18,2,3,23
STINGY,1517,2,0,0,2
GREEDY,4247,16,1,3,20
GREEDY,2660,18,2,0,20
STINGY,2033,4,0,1,5
GREEDY,3941,15,1,3,19
STINGY,1313,2,0,1,3
GREEDY,2907,17,2,3,22
GREEDY,4457,17,2,3,22
GREEDY,5001,13,2,3,18
STINGY,1361,1,0,0,1
GREEDY,2186,16,2,3,21
GREEDY,1364,14,0,3,17
GREEDY,3695,16,2,3,21
STINGY,1412,1,0,1,2
STINGY,2136,5,1,1,7
GREEDY,4835,16,1,4,21
GREEDY,4930,16,1,3,20
GREEDY,1631,14,2,4,20
GREEDY,4461,17,1,3,21
GREEDY,1728,17,2,3,22
GREEDY,3056,13,1,4,18
STINGY,1763,1,0,1,2
GREEDY,3497,20,2,2,24
STINGY,960,1,0,1,2
STINGY,1662,1,0,1,2
GREEDY,5346,16,2,4,22
GREEDY,6542,16,1,3,20
GREEDY,566,16,1,4,21
GREEDY,8130,15,2,2,19
GREEDY,3765,15,1,3,19
STINGY,2012,2,0,1,3
GREEDY,2594,17,2,4,23
GREEDY,4903,16,2,3,21
STINGY,1349,1,0,1,2
GREEDY,2549,15,1,2,18
STINGY,1093,5,0,0,5
GREEDY,2136,19,1,4,24
STINGY,1007,7,1,1,9
GREEDY,3267,15,1,4,20
STINGY,1745,2,0,0,2
GREEDY,3866,16,1,2,19
GREEDY,6660,17,2,3,22
STINGY,1213,5,1,0,6
STINGY,1403,5,0,1,6
GREEDY,5051,14,2,2,18
STINGY,1422,5,0,1,6
GREEDY,47832,14,1,4,19
STINGY,1430,3,0,2,5
STINGY,658,4,0,0,4
STINGY,1439,2,0,3,5
GREEDY,3456,18,1,3,22
GREEDY,5915,14,1,3,18
STINGY,1448,1,1,0,2
GREEDY,2897,12,1,4,17
GREEDY,2382,19,0,4,23
GREEDY,11811,16,1,2,19
STINGY,1579,2,0,0,2
STINGY,1254,4,0,2,6
GREEDY,1312,18,0,4,22
STINGY,1914,2,0,0,2
GREEDY,5261,15,2,3,20
STINGY,1887,1,0,0,1
STINGY,1172,5,0,0,5
STINGY,1018,2,1,0,3
STINGY,1053,5,1,2,8
GREEDY,3645,13,1,4,18
GREEDY,3924,18,1,3,22
GREEDY,2305,17,2,3,22
STINGY,1530,1,0,0,1
STINGY,1427,4,0,1,5
STINGY,1109,4,0,1,5
STINGY,1702,0,1,0,1
GREEDY,5968,14,2,2,18
GREEDY,4455,18,2,2,22
STINGY,1518,8,1,2,11
STINGY,1032,4,0,0,4
GREEDY,6663,16,1,3,20
STINGY,1756,3,0,0,3
STINGY,1671,1,1,0,2
STINGY,1668,3,1,2,6
GREEDY,1246,15,2,4,21
STINGY,980,5,1,1,7
STINGY,1720,4,0,0,4
STINGY,2015,6,1,1,8
STINGY,1603,7,1,3,11
GREEDY,2075,14,2,3,19
GREEDY,4957,12,0,2,14
GREEDY,2508,12,1,3,16
GREEDY,4464,15,2,4,21
STINGY,652,4,1,2,7
GREEDY,2298,19,2,3,24
GREEDY,5413,19,2,3,24
GREEDY,2008,13,2,2,17
GREEDY,1847,14,2,4,20
GREEDY,3343,14,1,4,19
GREEDY,1763,11,2,3,16
GREEDY,4643,13,2,3,18
GREEDY,12106,14,1,3,18
STINGY,1544,1,0,0,1
GREEDY,6259,15,0,2,17
GREEDY,4116,17,1,4,22
GREEDY,2437,14,2,4,20
STINGY,940,4,1,1,6
GREEDY,1200,11,1,4,16
STINGY,1931,3,0,1,4
